time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh,Ref_driving_energy_kWh
2026-04-26 18:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 18:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 19:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 19:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 19:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 19:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 20:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 20:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 20:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 20:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 21:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 21:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 21:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 21:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 22:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 22:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 22:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 22:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 23:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 23:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-26 23:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-26 23:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 00:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 00:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 00:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 00:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 01:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 01:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 01:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 01:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 02:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 02:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 02:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 02:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 03:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 03:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 03:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 03:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 04:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 04:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 04:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 04:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 05:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 05:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 05:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 05:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 06:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 06:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 06:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 06:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 07:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 07:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 07:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 07:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 08:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 08:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 08:30:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 08:45:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 09:00:00+02:00,-2400.0,2400.0,143271.9347999998,143946.93479999984,1.8573094796733391
2026-04-27 09:15:00+02:00,-2400.0,2400.0,143346.9347999998,143871.9347999998,1.8573094796733391
2026-04-27 09:30:00+02:00,-2400.0,2400.0,143297.09199999983,143946.93479999984,1.8573094796733391
2026-04-27 09:45:00+02:00,-2400.0,2400.0,143372.09199999983,143897.09199999986,1.8573094796733391
2026-04-27 10:00:00+02:00,-2400.0,2400.0,143372.09199999983,143972.09199999983,1.8573094796733391
2026-04-27 10:15:00+02:00,-2250.0,2250.0,143447.09199999983,143972.09199999983,1.6347379241177837
2026-04-27 10:30:00+02:00,-2250.0,2250.0,143409.59199999983,144009.59199999983,1.6347379241177837
2026-04-27 10:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 11:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 11:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 11:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 11:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 12:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 12:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 12:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 12:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 13:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 13:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 13:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 13:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 14:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 14:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 14:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 14:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 15:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 15:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 15:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 15:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 16:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 16:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 16:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 16:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 17:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 17:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 17:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 17:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 18:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 18:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 18:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 18:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 19:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 19:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 19:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 19:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 20:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 20:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 20:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 20:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 21:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 21:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 21:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 21:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 22:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 22:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 22:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 22:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 23:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 23:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-27 23:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-27 23:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 00:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 00:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 00:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 00:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 01:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 01:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 01:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 01:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 02:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 02:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 02:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 02:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 03:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 03:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 03:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 03:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 04:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 04:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 04:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 04:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 05:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 05:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 05:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 05:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 06:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 06:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 06:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 06:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 07:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 07:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 07:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 07:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 08:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 08:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 08:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 08:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 09:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 09:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 09:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 09:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 10:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 10:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 10:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 10:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 11:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 11:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 11:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 11:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 12:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 12:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 12:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 12:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 13:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 13:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 13:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 13:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 14:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 14:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 14:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 14:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 15:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 15:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 15:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 15:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 16:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 16:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 16:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 16:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 17:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 17:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 17:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 17:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 18:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 18:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 18:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 18:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 19:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 19:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 19:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 19:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 20:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 20:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 20:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 20:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 21:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 21:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 21:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 21:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 22:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 22:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 22:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 22:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 23:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 23:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-28 23:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-28 23:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 00:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 00:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 00:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 00:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 01:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 01:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 01:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 01:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 02:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 02:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 02:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 02:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 03:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 03:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 03:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 03:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 04:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 04:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 04:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 04:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 05:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 05:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 05:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 05:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 06:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 06:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 06:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 06:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 07:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 07:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 07:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 07:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 08:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 08:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 08:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 08:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 09:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 09:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 09:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 09:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 10:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 10:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 10:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 10:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 11:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 11:15:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 11:30:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
2026-04-29 11:45:00+02:00,-2400.0,2400.0,143447.09199999983,143972.09199999983,1.8488293526892121
2026-04-29 12:00:00+02:00,-2400.0,2400.0,143372.09199999983,144047.09199999983,1.8488293526892121
